Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
ACAP3	116983	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
ACTRT2	140625	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
AGRN	375790	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
ANKRD65	441869	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
ATAD3A	55210	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
ATAD3B	83858	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
ATAD3C	219293	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
AURKAIP1	54998	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
B3GALT6	126792	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
C1orf159	54991	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
C1orf170	84808	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
C1orf222	85452	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
C1orf233	643988	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
C1orf86	199990	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
CALML6	163688	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
CCNL2	81669	0	1	0	0	0	-1	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-2	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	-1	-1	0
