Composite.Element.REF	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
YWHAB|14-3-3_beta	0.0262234604999998	-0.171454899	-0.1327189405	-0.1171535085	0.107893874	-0.230474001	-0.1186171535	-0.0523562505	-0.398777131	0.268549311	0.4331831615	-0.00263708250000017	-0.071522476999999	-0.2487968485	0.861939429	0.0828529979999999	0.1197001285	0.131162181	-0.0792149805	-0.1642423965	0.0142422354999999	-0.123964435	-0.0107691295	-0.1328519505	-0.213741679	-0.0676943330000001	-0.0128506945	-0.20225777	0.0704160865	-0.2928191665	-0.187443029	-0.0248640029999999	-0.195924024	-0.0249422184999999	0.325655852	0.0530025999999999	0.139479278	0.0887725570000001	-0.133664371	-0.043188359	-0.034108485	0.014587936	0.00628576100000006	0.0494211200000001	-0.060790461	0.180440012	0.197060148	-0.031787406	-0.0586476629999999	-0.091192557	-0.321431917	-0.204547492	-0.224991771	-0.2078957445	-0.1937520185	0.069544984	0.0147341870000001	-0.041900482	-0.096021918	-0.0368128140000002	-0.194954766
YWHAE|14-3-3_epsilon	0.250940407499999	0.0614198229999996	-0.0954847145000001	0.0987126494999999	0.110401547	0.372019872	0.4597182195	0.1037534345	-0.0286066850000001	-0.214755679	-0.4157585365	-0.3409539035	-0.288343931999999	0.0123689774999997	-0.364674715	0.228020734	0.2690146685	0.0869739469999997	-0.2113264745	0.2881520105	0.0348966494999998	-0.280984209	0.2077925405	0.1094144095	0.549888	0.487112455	0.1682066155	0.477962955	0.0682690485	0.1245989165	0.294381387	0.0190179639999999	0	0.0611836055000001	0.235583198	0.343766575	0.536311259	0.054259556	-0.058342352	0.056554409	-0.095444266	-0.099112505	0.0503280310000001	0.347801632	-0.000168757999999963	0.648819391	0.382307946	-0.0910074419999999	-0.115177423	0.299899272	-0.173842477	0.412537874999999	-0.00563371600000018	0.0728453484999998	0.2940291085	0.104027573	-0.0813204799999999	-0.061334512	0.01590631	-0.0478154420000002	-0.243044744
YWHAZ|14-3-3_zeta	-0.0809544090000003	-0.0120681485	0.0194461420000002	-0.00901227900000001	-0.1527346305	-0.1037826135	-0.433213409	-0.90178942	-0.2304844645	0.4254089395	0.629429942	0.180069828	0.608583964500001	-0.523645663	1.9724999405	-0.2702165145	0.682818845	0.0168347854999999	-0.068876728	-0.568892836	-0.0159826120000002	0.0104025265000001	0.0496548930000002	-0.189140439	-0.7055792985	-0.1750013525	0.265144847	-0.5732062905	0.534428663	-0.536399488	-0.3716334915	0.0578494955	-0.0469539034999999	-0.284822289	0.000696248499999823	0.248630865	0.534556646	-0.140118628	-0.072166178	-0.015120443	-0.20031739	-0.067065047	0.103264885	0.204578184	0.17619762	0.729480315	0.36271821	-0.0386832	0.05507899	0.503723174	-0.3655697545	-0.4401881365	-0.3754020475	0.229116874	-0.393491541	0.301267386	-0.0330943599999999	-0.240158251	0.069410393	-0.122072215	0.0833363725
EIF4EBP1|4E-BP1	-0.420471423	0.0317358584999998	0.260280528	-0.0689332749999999	0.3709801305	-0.1087613075	0.203360884	-0.256556451	0.0442224615	-0.2364235045	0.26346411	0.0226112559999999	0.233310855500001	0.313583517	0.1866026595	-0.0951010745	-0.346711664	-0.00914422850000018	0.184370317	0.196604135	-0.180602118	0.6334833145	0.042182096	-0.124552279	0.2141518905	0.0907759665	0.0120861750000001	-0.00646128950000004	-0.403893681	0.063759154	0.1315193735	0.0472985225000002	-0.2572368675	0.585004105	-0.2120261915	0.288797244	-0.156183317	0.037901881	0.023456423	0.016869716	0.042721131	-0.00713587000000002	-0.093896973	0.028427608	-0.098274109	-0.722812446	-0.0318441269999999	-0.054369653	-0.136929425	-0.118247909	0.4140112205	-0.2476289795	0.1739399195	-0.156216062	0.177222943	0.172697385	0.00274156100000007	0.1067703	-0.126129478	-0.0506487730000002	0.2160409195
EIF4EBP1|4E-BP1_pS65	-0.0903918705	0.156314011	0.0835570135000001	-0.2826517145	0.405588428	-0.3485796	-0.0510617055	0.00296062750000003	-0.203607781	-0.110965948	-0.1087891925	-0.0809998275000001	-0.116462764999999	-0.1536661375	0.498247485	-0.0548605600000001	0.6766270685	-0.127323151	0.0217454575	0.0327064595000001	-0.2880386475	0.151879917	0.1013901335	-0.1795813785	0.0978205950000001	0.082859638	-0.00715174349999992	-0.245725383	0.1060029245	-0.3103380835	-0.175825456	0.147180803	-0.297542894	0.2949319735	-0.0928715979999999	-0.0944895580000003	0.280790751	-0.313039712	0.0217727549999999	0.149019325	0.047599093	0.263869649	-0.195594292	-0.022050962	0.0484958009999999	-0.050036718	-0.059055227	-0.131796138	-0.166879422	0.205816606	0.0930281690000001	-0.484315422	-0.306133887	0.1526839955	-0.1205435935	-0.315924073	0.103749102	0.0876552070000001	0.209118675	-0.220442263	-0.0763355610000001
EIF4EBP1|4E-BP1_pT37_T46	0	0.6738798405	0.695893072	-0.883949472	0.7718998245	-0.5094050005	0.705238937	0.329307567	-0.0630011585	-0.0810103025	-0.394062573	0.100052321	0.182052157500001	0.05881877	1.6223844505	0.2396045895	-1.110090411	0.1381582445	0.57765264	0.880432723	-0.444837955	0.7505218345	-0.346824575	0.116489145	0.0933109635	-0.1364771795	-0.776511504	0.4244946245	-0.16941595	0.350499753	0.8832824705	0.3269473625	-0.3877302605	1.414581425	-0.4807129925	-0.134159522	-1.125245868	-0.494150569	0.429236467	1.009855079	0.147185185	0.73190249	-0.333558326	-0.969359105	0.127405679	-0.468331638	-1.281832775	-0.0389445549999999	0.145559483	-0.456111903	0.9290751505	0.4995910605	0.0200652365	-0.303978466	0.00943834900000007	-1.125111911	0.515407621	0.152616382	0.350448652	0.18375301	-0.3250426605
EIF4EBP1|4E-BP1_pT70	-0.808518271	-0.2648813705	0.026388965	-0.190931307	0.0324296105000001	0.0165135515000001	-0.279489093	0	0.0531836875	0.2150283625	0.382512969	0.16142785	0.243323801500001	-0.212022191	0.4050526225	0.0678815974999999	-0.123305919	-0.0983091465000001	0.086292345	-0.185176843	0.150227574	0.0335989175000001	-0.097492224	-0.225546246	-0.3438989075	-0.0780324745000001	-0.214425135	0.0288776884999999	-0.234651892	-0.289505029	-0.1382854015	-0.0333853514999999	-0.1697664255	-0.228481659	0.1839714675	0.232397359	0.074218003	-0.266801106	-0.107983652	-0.05825579	0.00494576400000002	0.156638749	-0.177590796	0.000509170000000059	-0.065256147	-0.0658889069999999	-0.270831538	-0.232501234	-0.188021525	-0.116490979	-0.1623550605	-0.0813683485000003	-0.2775266285	-0.131249061	-0.133161122	-0.130153535	0.0696060170000001	-0.0594280899999999	0.119213386	-0.0341970570000002	0.1264584915
TP53BP1|53BP1	-1.0038714365	0	0.2036136515	-0.9626997365	0.223566351	-0.927704038	-0.1837753285	0.0279738095000002	-0.381508176	0.015894689	-0.1431033485	-0.5578117305	0.256261556000001	0.8411778835	-0.684008803	0.023405308	-0.5468489425	0.289627568	-0.0486164724999998	0.3020332395	-0.2299352835	0.102552418	0.0760508685000003	-0.1677432975	-0.112170106	0.023956681	0.4970248285	-0.315609718	-0.2233243415	0.1786635765	0.286058761	0.406269939	0.549055511	1.3508621355	-0.15953504	0.0804677679999999	-0.460728857	-0.438907722	0.360091802	0.497094469	-0.240346612	0.057017745	-0.294142662	0.347470299	0.057306699	-1.073070351	-0.774665583	-0.360950252	-0.216410201	-0.172728673	0.521718372	0.569252685	0.382498634	-0.4031077995	0.8267285385	-0.047944895	0.108063858	0.092435317	0.5570757	0.122624971	0.217944549
ARAF|A-Raf_pS299	-0.053651753	0.0254539504999998	-0.139870011	0.0996978390000001	0.0334224605000001	0.2132745985	0.312914066	0.0413648550000001	0.0171618955	-0.1328559045	-0.187320288	-0.221877606	-0.330152279499999	0.124242681	-0.2699737235	0.0989183835	0.199141494	-0.1508244485	-0.122949112	0.130094079	0.163495098	-0.2012069325	0.357000162	-0.030391991	0.5741284715	0.2334914935	0.0293912530000001	0.3756742675	0.0193629490000001	0.023977537	0.1513378535	-0.0667791534999997	-0.0331268104999998	-0.000897853999999643	0.2211629365	0.0625805189999999	0.0196087410000001	0.215038642	-0.0711619630000001	-0.02079583	0.168131168	0.079848739	0.023422386	0.00266838300000005	-0.012668637	0.063703847	0.162736965	0.0871484790000001	0.00844422100000009	-0.0474388150000001	-0.1629952395	0.1877061755	-0.1562754295	-0.0474501559999998	0.245973479	-0.0585034070000001	0.014372807	0.124915506	-0.214691562	0.0898614709999997	-0.1645666905
ACACA|ACC1	-0.1455431225	0.305820264	-0.1154011955	0.5494690795	0.769627333	-0.488942901	0.3137963645	0.4053091845	-0.258066296	-0.529812474	-1.1567863445	-0.8492979855	-0.130742886999999	0.6713446865	-0.582705227	-0.0856900200000003	0.4198971305	-0.0102126610000004	-0.1391469195	0.0344522735000001	-0.4245485785	0.0977585750000001	0.1429249625	0.4376596845	-0.592129749	-0.571507981	0.5813993925	0.281986514	0.3977844405	0.0595106785	0.025470942	0.686108543	-0.0911435069999997	1.2278784255	-0.0153696280000001	-0.0391733470000002	0	-0.311095863	0.217186141	0.493054049	-0.20795884	0.514789649	0.155982152	0.257814434	0.312791976	-0.027424707	-0.023305231	-0.205986604	-0.244240571	0.426727999	0.46753255	0.60312368	0.12610565	0.0454128184999998	1.0954908555	-1.301030569	-0.159157907	-0.0493013109999999	0.288262807	-0.0626114810000002	-0.457569297
