Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
LOC100130426	100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q2P3	100133144	8.7141	36.4493	11.8131	8.6116	0	5.3382	3.7845	8.3071	2.7732	8.2828	15.9543	13.3697	12.1953	18.0533	1.3557	8.2018	6.1558	12.1517	4.8202	1.9729	6.6894	4.9482	0	9.2877	2.8886	3.2854	2.8667	11.5179	19.0403	9.3418	13.735	0	12.8176	11.2508	10.5927	11.9739	6.2159	8.9181	8.8809	3.7821	0.2608	6.727	1.9856	6.9913	9.1544	3.832	2.3309	5.897	1.5131	7.6247	2.6491	15.9012	3.2082	6.2575	9.339	0.3761	1.9313	1.948	3.2066	12.1315	5.676
UBE2Q2P3	100134869	22.7523	21.1767	11.0242	5.0835	30.261	27.8886	8.723	15.4466	12.7776	19.9402	10.9274	10.9028	13.4828	12.5528	0	7.5153	7.3111	32.8419	17.0278	22.454	14.7903	12.0431	11.4943	12.0403	3.7688	2.6816	12.9387	19.8856	20.6123	4.5044	19.6505	19.3263	10.7402	11.0849	8.5277	16.8403	11.8149	22.8164	28.6519	15.7086	10.6909	17.2831	9.9115	28.3769	11.0029	25.7039	15.798	15.8615	3.0261	8.0882	18.4959	18.3667	13.8006	9.0273	20.7971	18.0536	2.4169	5.9037	17.3891	13.9548	10.0907
LOC149767	10357	268.5756	156.6874	185.1384	269.8363	216.3409	159.759	198.1884	208.5413	255.2882	129.7185	170.7359	257.5009	172.4738	187.7013	258.5494	195.9425	215.3238	165.4879	121.0287	177.1364	160.8456	209.7389	134.5632	105.157	154.5224	190.5897	190.8267	201.4367	207.4884	151.9785	223.4898	190.7289	207.0995	223.7332	140.0574	157.9929	175.4164	153.5052	124.0403	99.4261	159.8269	198.8037	179.1255	171.7684	199.5575	163.1876	160.6906	198.4947	170.4501	90.6006	159.4614	111.6822	102.217	98.981	226.6235	173.134	161.8951	217.741	229.737	135.6106	104.1309
TIMM23	10431	845.815	390.2692	621.4533	835.7286	812.5079	576.9055	551.9467	607.8956	386.1776	645.755	421.707	313.5604	673.4177	702.215	875.4448	749.4571	563.4801	568.5556	907.1461	878.6171	744.2891	784.5006	1290.2299	762.1428	614.7018	745.5247	739.1338	617.601	523.5547	561.8031	574.8565	795.693	561.1029	578.813	518.1644	588.1741	419.9288	649.1165	550.2967	700.2751	520.9875	685.3412	867.2589	545.0581	649.4592	582.2785	830.9054	874.3339	677.8464	575.0925	548.1747	660.8812	613.4897	622.0472	527.5437	846.2623	768.1855	665.5201	706.2738	613.9905	1183.6815
MOXD2	136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC155060	155060	182.5047	325.0518	131.1419	83.475	80.696	216.5221	332.0557	244.5634	186.239	222.1029	198.9247	674.1796	224.9548	260.7981	161.3286	288.2846	515.6375	260.0767	256.2585	204.0586	182.0661	84.5421	187.3563	504.5405	177.1613	161.4602	276.4391	246.3207	493.7275	256.0078	775.6912	526.2286	691.206	687.9387	524.8566	501.2743	421.8268	503.4259	489.5819	311.8521	752.5375	336.5628	620.7014	813.9535	794.002	515.1515	373.3679	333.9254	719.7075	1251.5332	638.7393	762.7948	376.5396	307.0866	312.3785	92.9008	270.6767	80.3859	250.3169	205.9449	308.6322
RNU12-2P	26823	0.4196	1.7253	0	0.3261	0	2.5559	0.8069	0.6691	0	0	0.336	0.4954	0.7233	0.8621	0.6779	0.4136	0	1.0226	1.8207	0.7516	0	0.4144	0	0.6665	1.4794	0.702	0.3099	0	1.0527	0.5892	0.5216	1.1044	0.5354	0.6382	0	0.9147	0.4745	2.1637	2.2078	1.8563	0.5215	0.8425	0.4102	3.876	0.9833	3.0687	0.4316	2.2202	0.5044	1.9641	1.1969	0.445	0	0	1.2962	0	0	0	0.6337	0.2746	0.7883
SSX9	280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC317712	317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXORF67	340602	2.0978	3.4507	1.7301	1.3043	3.0261	8.7631	2.8243	2.0074	0	2.7609	2.0161	1.4861	0	1.7243	2.3725	3.3089	7.0878	5.7946	1.8207	4.5096	2.0457	2.901	12.069	7.6648	0	1.755	1.5495	2.2898	8.4218	2.3568	7.3031	7.1784	3.7478	5.1053	1.912	3.6589	5.694	5.0487	7.7273	8.3532	5.7366	9.2671	4.5127	10.6589	0	6.5209	3.8848	4.4405	7.5653	13.356	11.5699	9.7908	4.6921	6.4845	3.5645	5.2656	1.4494	1.4956	2.5349	9.3362	7.4892
EFCAB8	388795	0.4196	0.3451	0.346	0	0	0.3651	0	0.3346	0.7405	0.3068	0.672	0	3.255	0.8621	0.3389	0	1.4176	0.3409	1.8207	1.1274	0	0	0.5747	0.9998	0	0.702	0.6198	0.9814	0	0.2946	1.0433	0.5522	0.5354	1.9145	0.956	0	0	0	0.552	0	0	0.4212	0.4102	0.969	0.4916	0.3836	0	1.7762	0.5044	1.1785	0.399	0	1.173	0	5.8328	0	1.0871	0	0.9506	0.5492	1.9708
SRP14P1	390284	12.5865	15.1829	14.8789	10.4344	23.2001	10.5888	9.6833	5.6875	8.8862	10.4302	4.3683	19.8142	4.34	11.6389	11.8624	6.2041	10.6317	5.4538	3.1862	6.7644	9.8875	16.1625	9.7701	21.328	7.0273	11.934	7.7477	6.5424	20.3527	12.0786	2.6082	1.6565	4.2832	6.3816	5.7361	7.3179	4.745	6.4912	6.0715	6.961	4.1721	5.8972	4.1025	2.907	5.4081	3.8358	9.9277	4.8845	5.5479	14.5344	8.7772	4.8954	1.7595	3.7054	15.2301	12.4118	6.8847	6.73	8.872	6.3156	3.9417
LOC391343	391343	0	0	0.346	0	0	0.3651	0	0	0	0	0	0	0	0	0.3389	0	0	0.3409	0	0.3758	0.3409	0	1.7241	0.6665	0.3699	0	0.3099	0	0.3509	0	0	0	0	0.6382	0	0	0	0	0	0	0	0	0.4102	0.4845	0	0	0	0.444	0	0	0.399	0	0	0	0	0.3761	0.3624	1.4956	0	0	0
TRIM75P	391714	0	0.3451	0	0.3261	0	0.3651	0.4035	1.0037	0.3703	0.3068	0.672	0.9907	0	0.4311	0.3389	0.4136	0.3544	0.6817	0	0.3758	0.3409	0	0	0.3333	1.4794	1.755	0.3099	0	0.3509	0	1.5649	0	0.5354	0	0.956	0	0	0	0.552	0.4641	0	0.4212	0	0.4845	0.9833	0	0	0	0	1.5713	0.399	0	0	0	0	0	0	0	1.2674	0	0
SPATA31B1P	404770	0	0	0	0	0	0	0	0	0	0	0.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5892	0	0	0	0	0	0	0	0.3606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286106	441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDR16C6P	442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC553137	553137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3409	0	0	0	0	0	0	0.3271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3624	0	0	0	0
KIAA1618	57714	315.0829	541.4079	387.8893	404.9844	91.7917	285.1666	336.4938	512.546	609.8125	528.8749	650.8737	302.1672	469.8011	426.3294	375.8685	471.0992	334.5442	346.6553	187.9836	229.2371	261.166	355.9884	59.7701	388.9028	451.9649	414.8824	214.7672	646.0603	552.6801	449.5603	310.9025	177.8023	602.8644	376.5156	335.086	369.5526	463.1079	228.2726	241.7552	118.3367	231.55	199.663	243.2756	302.8101	159.7837	202.1481	127.7652	206.0391	119.0266	366.8964	260.9216	263.4624	213.4897	210.7457	279.65	150.0705	297.1284	249.0092	151.4575	391.8446	102.8774
LOC645851	645851	9.6497	22.0842	6.5744	13.369	3.0261	10.2236	13.3145	11.7096	8.5159	8.8964	12.4328	15.356	7.9566	12.5011	12.8792	11.9946	27.288	18.0656	19.117	7.516	15.0017	4.9731	2.2989	40.3233	12.945	16.146	12.3964	6.2153	28.7745	15.0246	38.0803	22.0872	23.0224	22.3357	21.9885	30.6436	23.2503	12.6217	14.3508	19.9548	33.3766	14.743	24.2045	33.9147	29.4985	22.2478	10.791	35.0799	20.6784	29.4617	42.29	31.1526	28.1525	10.6531	24.9514	5.2656	9.4211	4.4867	9.5057	19.4961	10.2483
RGPD7	652919	26.4317	4.8275	33.9066	40.3158	0	0.0913	0	43.2519	5.2947	19.7807	0	3.4675	6.4268	24.1141	16.6074	6.9652	27.6424	51.9949	73.8143	46.2871	82.3628	1.2433	0	0	52.5455	32.636	52.477	23.8404	42.5406	38.2627	30.746	0	29.656	11.9145	13.0975	0	15.6394	3.4043	0	5.411	20.7561	0	18.7195	0	9.4985	37.5911	0	58.2194	0	13.6584	0	0	0	4.1686	0	19.701	8.3703	41.5015	0	0	0
HSPB1P1	653553	58.3176	120.7729	38.7543	24.4556	166.9399	18.6216	27.4359	53.5296	148.4729	61.6612	105.8468	65.8824	212.6582	127.5971	59.6509	58.3187	42.1724	28.6323	30.4961	61.631	53.5288	66.3075	178.1609	100.9748	52.8895	31.59	20.454	142.2968	17.8963	42.4225	63.6411	52.4572	15.5267	20.4212	19.5985	36.132	69.7509	29.9315	48.5718	63.1129	399.4759	69.5029	52.5114	22.7713	57.0305	46.4135	131.2183	35.524	70.609	371.6103	31.1191	149.5327	299.7067	550.2547	38.5612	81.9934	67.3974	58.7004	20.2788	162.2846	274.7339
PPBPL1	728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC594835	728603	0	0	0	0.3261	0	0	0	0	0	0	4.3683	0	0	0	0	0	0.3544	0	191.1698	2.6306	76.7133	1.2433	0	0.9998	9.9861	1.404	9.2973	3.2712	0	19.7382	0	0	8.5665	8.2961	0.956	0	3.796	2.1637	0	0	9.9087	0	0	10.1744	0	3.0687	0.8633	6.2167	1.5131	3.9282	8.7772	0	0	3.2422	0.6481	0	0	4.1128	0	0	0
ANKRD20A20P	728788	2.0978	1.3803	0.346	4.565	0	0.3651	4.8416	1.0037	0	1.5339	0.672	3.4675	2.5316	2.1554	0.6779	6.6177	3.1895	0.3409	2.2758	2.2548	0.3409	0	0.5747	9.331	2.9589	1.755	0.6198	0	6.3163	2.6514	3.1299	0.5522	1.6062	3.1908	4.7801	1.8295	4.745	1.0819	2.2078	0	6.2581	0.4212	0.4102	2.4225	12.7827	2.3015	0.8633	3.5524	1.0087	1.5713	13.9637	0	1.173	0.4632	7.7771	0.7522	2.5365	3.365	0.9506	7.9632	3.5475
TMPRSS11E2	729884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0685	0	0	0	0	0	0	0	0	0.2946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3938	0	0	0	0	0	0	0.3739	0	0	0.3942
LOC100132347	8225	572.2677	734.2995	674.7405	777.0352	830.6645	769.6942	422.4329	376.7146	833.4475	616.9185	576.6129	793.065	573.2369	791.0156	596.1701	490.5387	851.5992	870.899	436.9595	905.2988	619.5022	474.0986	1310.3448	868.4496	627.6468	878.5539	773.8437	562.9721	670.2342	438.3655	953.5733	1568.1944	1046.1786	749.2023	874.283	708.4616	695.1364	776.0548	892.5072	1224.6693	935.5871	909.8568	811.0553	910.8527	894.7886	941.6954	1304.8451	699.8224	1235.6575	1366.6303	964.6918	1544.2813	1329.0323	819.824	528.5159	686.4128	796.8113	681.9711	746.5146	783.4146	1561.687
EFCAB12	90288	33.5641	108.3506	13.1488	4.239	14.1218	2.1908	3.2278	6.0221	5.1836	9.5099	48.7231	15.8514	32.5497	8.1904	3.7282	5.7905	7.7966	1.7043	28.6755	3.3822	16.0245	16.5769	1.7241	2.3328	12.945	3.159	6.5081	2.9441	24.5636	1.7676	31.2989	2.2087	16.5975	12.7632	4.7801	6.8605	11.3879	2.1637	3.3117	7.8891	151.2376	5.8972	1.2307	3.876	4.9164	4.603	3.8848	8.4369	2.0174	1.9641	7.1813	21.3618	6.4516	17.1376	3.8885	4.1373	23.9152	23.181	1.2674	2.7459	9.46
