Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
UBE2Q2P2	100134869	0.534	0.3896	-0.5402	-1.0843	1.2217	1.0044	-0.751	-0.1352	-0.3796	0.2764	-0.5491	-0.5514	-0.315	-0.4002	-1.5499	-0.8616	-0.8803	1.4581	0.0096	0.5066	-0.1953	-0.4469	-0.4972	-0.4472	-1.2048	-1.3043	-0.3649	0.2714	0.338	-1.1374	0.2499	0.2202	-0.5662	-0.5347	-0.7689	-0.0075	-0.4678	0.5398	1.0743	-0.1112	-0.5708	0.033	-0.6421	1.0491	-0.5422	0.8043	-0.103	-0.0972	-1.2728	-0.8091	0.1441	0.1323	-0.2859	-0.7231	0.3549	0.1036	-1.3286	-1.0092	0.0427	-0.2718	-0.6257
HMGB1P1	10357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC155060	155060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNU12-2P	26823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSX9	280660	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707	-0.0707
CXORF67	340602	-0.4161	-0.2475	-0.4619	-0.515	-0.3004	0.4147	-0.3255	-0.4274	-0.6776	-0.3334	-0.4263	-0.4923	-0.6776	-0.4626	-0.3818	-0.2651	0.2059	0.0447	-0.4506	-0.1155	-0.4226	-0.316	0.8267	0.2778	-0.6776	-0.4588	-0.4844	-0.3922	0.3721	-0.3838	0.2327	0.2172	-0.2104	-0.0412	-0.4392	-0.2215	0.0321	-0.0483	0.2856	0.3636	0.0375	0.4775	-0.1151	0.651	-0.6776	0.1352	-0.1934	-0.1241	0.2654	0.9871	0.7645	0.5428	-0.0927	0.1307	-0.2333	-0.0212	-0.4969	-0.4911	-0.3616	0.4861	0.2559
EFCAB8	388795	-0.2435	-0.3249	-0.3239	-0.7017	-0.7017	-0.303	-0.7017	-0.3363	0.1068	-0.3667	0.032	-0.7017	2.8522	0.2396	-0.3317	-0.7017	0.8461	-0.3295	1.2862	0.5292	-0.7017	-0.7017	-0.0742	0.3899	-0.7017	0.0648	-0.025	0.3698	-0.7017	-0.38	0.4374	-0.0988	-0.1171	1.3886	0.3421	-0.7017	-0.7017	-0.7017	-0.099	-0.7017	-0.7017	-0.2418	-0.2538	0.3563	-0.1649	-0.2828	-0.7017	1.2376	-0.151	0.585	-0.266	-0.7017	0.579	-0.7017	5.6667	-0.7017	0.4852	-0.7017	0.3362	-0.102	1.4501
SRP14P1	390284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC391343	391343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM75P	391714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
