Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
WFIKKN2	124857	0.959182907313009	0.724184368455635	0.862954950527183	0.900240786621479	0.747054374148635	0.900529719684746	0.77388227985895	0.870505258506521	0.515390399243958	0.876016983410212	0.64762272181946	0.210090691981288	0.534913646583441	0.836068686175556	0.730818694293244	0.917604577856135	0.855541180012459	0.928480892363668	0.532042732614668	0.930503285411763	0.747972809532948	0.874968348057487	0.825498849654249	0.939385378565946	0.645389832748687	0.877593307858219	0.806312881417869	0.895375021721668	0.890212510856308	0.908399433402675	0.867052134144113	0.800799198358795	0.91068976190486	0.773692430889198	0.949846657529571	0.877412744288796	0.909626554768751	0.915765146373358	0.858337898449491	0.846682078109924	0.443671486078642	0.87134640820236	0.886101945760067	0.886499197062451	0.772460763745927	0.786300241378245	0.745505181915768	0.884644993646383	0.917759060110543	0.934624675024168	0.867311088070199	0.909887506678171	0.836304457453071	0.414325770052269	0.298129533164473	0.743608046623078	0.933564784017542	0.8897233571638	0.950550189296313	0.908473601907869	0.932127805366477
CKLF	51192	0.108623785856326	0.079340537677246	0.0524278032189381	0.121466513772104	0.0901710531955349	0.0954499655205638	0.0823348064066961	0.0689119624347001	0.0972140316599872	0.0840053153471331	0.078657213176228	0.0825431661672818	0.0692079218451472	0.0533008589343247	0.0913872769497339	0.0816365500171386	0.100691636880823	0.101898511706831	0.075696058406591	0.101287900067968	0.0821404177283811	0.149617864047595	0.141944373131921	0.0922767035824454	0.0751720032446597	0.0821781884276452	0.103753575805762	0.0758439760950218	0.329707735349583	0.0777696684012074	0.074039774934791	0.0870773904836427	0.0480077745216589	0.0730168225148012	0.0822126766994906	0.0785873806084382	0.0921049328486522	0.0762307038289666	0.0698332036849763	0.0633712124135821	0.0697445677568884	0.0771174639069993	0.0750926339885538	0.0705599619089114	0.0796686443430428	0.0851081014341179	0.0755864440957667	0.0689889783788622	0.0762300136110711	0.0741192554536304	0.0729302891197625	0.0822659748500159	0.0936235664839881	0.0589452847387211	0.0755072222419791	0.0820252216178756	0.0873348870120857	0.0725800106228114	0.0707315195263754	0.078349183309188	0.0910194038382974
ATP6V0C	527	0.83509449344974	0.692673127111539	0.743804202848091	0.807324400377333	0.757414222909632	0.812000472939872	0.675716425087052	0.817344451611539	0.724807299141471	0.685662343353074	0.760021702431947	0.805130968033128	0.756972073228404	0.693609816377621	0.786583737439435	0.75413812806416	0.76137149394162	0.850470840768917	0.678659861022427	0.796545559558177	0.691124996510274	0.7414335209159	0.782964087269175	0.799631566679975	0.658356028281635	0.789642386223698	0.717834713107436	0.730387374641989	0.788886714522183	0.79530320141094	0.774492736005606	0.760086005643988	0.749443718582631	0.641521835952511	0.810501378822992	0.768180222306484	0.779067674914862	0.791116913468361	0.742510625837518	0.750553351969755	0.602951329671376	0.757528359482904	0.774004408516276	0.777594673953065	0.699244041319862	0.730218348293655	0.732855461516444	0.725292105434413	0.750837182095538	0.800158199879328	0.759137306310845	0.80032850258055	0.776134274307153	0.635616010615168	0.57420865216739	0.766092952611947	0.788728713687408	0.776994435922888	0.811851970529717	0.810953562439611	0.816111906840467
MTHFD2L	441024	0.780860272271937	0.87713903208115	0.885792718236344	0.845565635087016	0.905352655115749	0.921984092649674	0.918042640739377	0.924021158186231	0.915244383416265	0.915473574688918	0.903194851557259	0.910041841359401	0.86658139833151	0.84042961740527	0.90911424668245	0.913380422112636	0.896741590614627	0.882268539309711	0.899072015369718	0.901592499408686	0.913993668852622	0.908614935651319	0.915863087235476	0.894285975385672	0.921739005965297	0.856199389895332	0.899337802253059	0.882952874576214	0.901002223442494	0.913631215522778	0.857788931525463	0.851840618884421	0.874740834842139	0.856620304508732	0.837483414600152	0.800263485250291	0.860471095596513	0.875173584528414	0.845281551953145	0.81508530683984	0.733258012368942	0.820953878697814	0.80964981898052	0.801135525593718	0.83031662638279	0.837375441769682	0.853571264783201	0.688842714863999	0.828112717313433	0.731167730278204	0.808325699248158	0.828968966531427	0.772553917942255	0.769490767733968	0.880954645713917	0.92035618317945	0.91132426542298	0.912724286751107	0.932774399873166	0.800010618561269	0.78723964440726
PTPRF	5792	0.678202646586929	0.654010979506051	0.5816775914777	0.65125325469857	0.712777766251248	0.78833999814644	0.599144192675927	0.907226828888834	0.545074611211916	0.804750450566858	0.49401719282968	0.592258381621457	0.658418316421548	0.582252043311218	0.592876050080003	0.568250748124941	0.778015846639734	0.782622438177025	0.511492343884903	0.787009249839173	0.639676340576677	0.738669867150506	0.770587131413932	0.775420878353155	0.574830892297315	0.532451764548046	0.813929672568075	0.749736904991513	0.767105510089464	0.705902252241324	0.683721758286363	0.76917492964841	0.798848197375567	0.673078784246072	0.79558084479206	0.741727643934923	0.641846241668716	0.869901867111564	0.693284433965802	0.584192728294044	0.551054953908919	0.80225841495994	0.723263577655093	0.903440479976218	0.713833253950547	0.657479983119735	0.626353766003493	0.765634860819055	0.603901409867656	0.829010940126741	0.713162148092882	0.631897172761544	0.695332789562395	0.596847686728819	0.442738244407716	0.845710723412712	0.698254135610127	0.59900054985924	0.922440447696404	0.844477995180641	0.856972528303621
LRRC16B	90668	0.0207762959946509	0.0264365387025817	0.0220154335208155	0.0232430489315272	0.0194364353544526	0.0195136096746184	0.0244251589747488	0.0207086784356753	0.021265832232819	0.0236610338336016	0.0201414651755633	0.0193322305199135	0.0232976950047348	0.0204371588184467	0.0216519861545749	0.0167374126210221	0.0163001645909475	0.0237283611086971	0.0176424948649353	0.0214704553392592	0.0232069397070959	0.021553394313015	0.0239643985171167	0.0201710459587081	0.0227814127297305	0.0224541382198395	0.0221544495071655	0.0278270211889092	0.0246781943541493	0.0199111845066237	0.0205022392562799	0.0184620053804391	0.0180725768407976	0.0205589419189532	0.020223490308015	0.0230975190077423	0.0270975639792566	0.0226466770847013	0.023171735453719	0.0276056587900924	0.025650070643909	0.0222891544430103	0.0188986992432109	0.0239069316184733	0.0228133172165305	0.0208190087822975	0.0217020920164159	0.0201460600289591	0.0232513387551358	0.0190540913278247	0.0225911126602088	0.0197644964015368	0.0176069627765061	0.0215237992709597	0.0263945385425279	0.0202326459126513	0.0204122016655696	0.0262002233073008	0.021768057564989	0.0176495512245586	0.0197640657906206
C6orf168	84553	0.129962801376088	0.263877102393456	0.155602040301549	0.0904289974033518	0.254905359567765	0.126423030843884	0.15443713704014	0.154017665853389	0.161853920070363	0.118791450980048	0.241308651701411	0.156060569923256	0.160765645706746	0.166563492863763	0.116562013417648	0.116457700188116	0.125382144605031	0.0674806932164107	0.172420737644835	0.113480239873147	0.188130086671041	0.232029537532465	0.181026042168033	0.148091338343488	0.296071566901521	0.080484161596726	0.172965734836021	0.100384783691193	0.160915157286841	0.1162295134271	0.0773145561709572	0.153651664342882	0.0720250036579871	0.0980806699599929	0.127677837480541	0.0995525356279231	0.0866052672674442	0.0626286429227702	0.157427866672407	0.151764079214787	0.239688394186459	0.120572583819662	0.122105463586541	0.130227679066987	0.310308054137591	0.115317621804803	0.188425413057775	0.0507755632592182	0.087234971431612	0.0996186485988678	0.118581276767511	0.109126855396893	0.126636190233634	0.222593187022818	0.0853908551899697	0.166907927612282	0.125231096078808	0.260900528445464	0.0939796153016812	0.0861624487635333	0.142337214735784
COX8C	341947	0.932679038240732	0.941879584870006	0.943300757962157	0.934128267582972	0.947610269545331	0.942434543168151	0.934458966355868	0.945058089305133	0.943283713343831	0.94914197975381	0.927331154030317	0.96605476135194	0.921210604033659	0.935785251446476	0.96286797597212	0.937495941686056	0.952445787118244	0.95386563856015	0.914761004766773	0.946488716527006	0.928984040921469	0.915936739033872	0.924187931245178	0.948407118485089	0.941060891073315	0.950107327776606	0.939410404680499	0.928247625502252	0.930731207760835	0.937026871868612	0.905879286062941	0.935566645225859	0.932772191009382	0.918229663349121	0.922933764041538	0.908240999720435	0.92267745432026	0.915014485808594	0.91737941307465	0.929304468914589	0.941974195014836	0.9298120492922	0.920673461807306	0.934687619092666	0.941009577068725	0.940831753439921	0.934634540551597	0.927803807203638	0.924712967350156	0.937229684053476	0.938012407532513	0.937372388888633	0.928775810111228	0.912545053411655	0.928811561418419	0.937752379335651	0.948260220197225	0.948949293656907	0.919292787239981	0.935313965364138	0.933556116646396
LRRC4B	94030	0.929929907737	0.897784185436435	0.96177061796967	0.921995611015014	0.950341468687221	0.945078199492085	0.94365011910555	0.949823709005999	0.92884512565936	0.966356444740798	0.950969818753967	0.91742844095219	0.939963847364996	0.932518562793938	0.961725334233723	0.95155439478812	0.933730953162305	0.95806795121207	0.940610394535724	0.94260722594717	0.955586510695303	0.926570272663836	0.938830790403083	0.935550725347118	0.91137156368129	0.893824218663081	0.950412780484479	0.934596995049279	0.908553578743172	0.918374745579201	0.94533066087213	0.911532841236116	0.886609663091312	0.886300042916869	0.920861552987541	0.950604999709545	0.883610973732396	0.957997077968357	0.926327810536015	0.917676643276994	0.864577706074777	0.933198209173303	0.939406931139368	0.940047308495823	0.917366154341055	0.917856332580845	0.946615798912519	0.948740218811858	0.914304199755573	0.941018556313999	0.911963355740768	0.909849162824722	0.917379862347609	0.910054962072138	0.795273512106716	0.958823721886146	0.963400634844287	0.930241123531568	0.963366836354103	0.933263241506785	0.927792265180664
HELQ	113510	0.052075083574931	0.0384757854225449	0.039993404600556	0.0555106528693408	0.044327456747807	0.0337736677404357	0.0327898529818442	0.0322115022024817	0.0346479219010786	0.0432955224824513	0.0359594382405245	0.0313193099322697	0.0358631439947	0.0347882969154907	0.0440863280984971	0.0275949402280517	0.0361088486667137	0.044747488351308	0.0266808311973534	0.0398413619925494	0.0430201281836134	0.0306126421279429	0.0476039348817083	0.0396996660952095	0.0358512807877159	0.0372066154180081	0.0368547708656305	0.0344342030173139	0.0298569863733748	0.0392517232712624	0.0454606267792525	0.0454679389529895	0.0657268840105174	0.0509656938523737	0.0501892741899602	0.0522579398104688	0.0362725098520408	0.0470338597633998	0.0373731557556653	0.0345572802919567	0.0423341285483727	0.0383445132916625	0.0541664535797562	0.0468392909463726	0.0382406286934909	0.0348380970644561	0.0327132328904477	0.0445856491180051	0.0526642941021684	0.0560919115340207	0.0439773974035192	0.057587717693424	0.0800290761722588	0.0444673523755806	0.028637385445424	0.048153472593459	0.032120733018155	0.0347169627475295	0.0327615973017861	0.0988697419462415	0.116123442420787
